country,harvest_date,vegetable,price,available_stock,daily_demand,freshness_age,shelf_life_days,remaining_life,supply_demand_gap,wastage_risk
India,2024-12-03,Okra,63.98,279,388,11,18,7,-109,Low
Sri Lanka,2024-08-23,Cabbage,150.75,218,488,5,14,9,-270,Low
India,2024-10-07,Tomato,25.96,455,345,22,23,1,110,High
Sri Lanka,2024-12-05,Cabbage,182.59,373,104,13,15,2,269,High
Sri Lanka,2024-08-28,Cauliflower,179.65,164,299,3,8,5,-135,Medium
Sri Lanka,2024-03-22,Onion,35.89,138,344,11,25,14,-206,Low
Sri Lanka,2024-10-20,Carrot,115.99,265,68,11,19,8,197,Low
India,2024-02-23,Green Chilli,33.49,538,497,0,11,11,41,Low
Sri Lanka,2024-05-20,Cabbage,97.89,142,44,19,23,4,98,Medium
Sri Lanka,2024-12-12,Tomato,33.25,330,73,10,20,10,257,Low
India,2024-01-04,Onion,46.2,487,256,2,5,3,231,Medium
Sri Lanka,2024-06-28,Okra,130.35,107,43,0,5,5,64,Medium
Sri Lanka,2024-10-07,Brinjal,62.9,76,455,3,13,10,-379,Low
Sri Lanka,2024-08-21,Potato,20.46,230,413,20,23,3,-183,Medium
Sri Lanka,2024-05-13,Potato,20.44,207,141,0,15,15,66,Low
Sri Lanka,2024-01-22,Green Chilli,138.8,253,46,2,14,12,207,Low
India,2024-10-12,Green Chilli,35.53,126,46,5,20,15,80,Low
India,2024-01-02,Onion,94.53,513,208,16,25,9,305,Low
India,2024-04-06,Tomato,111.48,302,257,0,18,18,45,Low
Sri Lanka,2024-12-13,Potato,160.04,243,397,8,17,9,-154,Low
India,2024-10-18,Beans,196.87,187,391,13,18,5,-204,Medium
India,2024-01-24,Carrot,157.4,548,341,4,15,11,207,Low
Sri Lanka,2024-05-26,Carrot,85.02,329,131,26,29,3,198,Medium
Sri Lanka,2024-09-10,Green Chilli,27.88,156,261,7,21,14,-105,Low
Sri Lanka,2024-04-11,Cabbage,185.87,243,326,10,20,10,-83,Low
India,2024-02-19,Okra,95.7,70,364,8,13,5,-294,Medium
India,2024-12-22,Beans,169.95,188,225,1,11,10,-37,Low
India,2024-03-21,Okra,139.37,297,65,13,24,11,232,Low
India,2024-06-15,Brinjal,67.94,256,86,3,8,5,170,Medium
India,2024-07-31,Onion,100.59,511,345,11,18,7,166,Low
India,2024-08-25,Tomato,172.99,59,446,25,27,2,-387,Medium
Sri Lanka,2024-03-08,Tomato,124.1,265,321,9,18,9,-56,Low
Sri Lanka,2024-11-18,Beans,157.38,461,494,20,24,4,-33,Medium
Sri Lanka,2024-10-20,Brinjal,177.27,350,107,4,12,8,243,Low
Sri Lanka,2024-09-01,Green Chilli,129.13,184,464,8,11,3,-280,Medium
Sri Lanka,2024-07-06,Brinjal,29.5,116,62,4,6,2,54,Medium
Sri Lanka,2024-07-16,Okra,27.88,576,379,21,27,6,197,Low
Sri Lanka,2024-09-02,Green Chilli,29.48,596,166,0,9,9,430,Low
Sri Lanka,2024-04-28,Cauliflower,49.01,324,347,16,19,3,-23,Medium
Sri Lanka,2024-07-22,Onion,110.6,424,405,0,8,8,19,Low
Sri Lanka,2024-04-12,Beans,144.31,175,429,2,6,4,-254,Medium
India,2024-12-16,Tomato,133.15,191,138,15,25,10,53,Low
Sri Lanka,2024-04-26,Okra,54.89,147,389,2,7,5,-242,Medium
India,2024-03-10,Onion,37.91,180,360,16,26,10,-180,Low
Sri Lanka,2024-05-26,Tomato,173.2,257,368,3,6,3,-111,Medium
India,2024-01-27,Beans,126.55,449,488,8,13,5,-39,Medium
India,2024-07-21,Cauliflower,156.25,178,313,13,29,16,-135,Low
Sri Lanka,2024-10-18,Cauliflower,36.93,555,208,16,17,1,347,High
Sri Lanka,2024-12-05,Beans,144.98,250,193,6,9,3,57,Medium
Sri Lanka,2024-04-01,Beans,37.85,149,263,7,18,11,-114,Low
India,2024-05-15,Onion,44.06,233,267,10,15,5,-34,Medium
Sri Lanka,2024-11-29,Green Chilli,61.46,66,417,12,27,15,-351,Low
Sri Lanka,2024-06-08,Onion,99.23,120,191,2,19,17,-71,Low
India,2024-05-04,Cabbage,74.66,544,417,13,19,6,127,Low
Sri Lanka,2024-12-18,Carrot,180.07,320,151,3,11,8,169,Low
India,2024-12-29,Potato,194.17,181,359,18,21,3,-178,Medium
India,2024-03-05,Green Chilli,63.2,313,418,12,14,2,-105,Medium
Sri Lanka,2024-04-29,Beans,46.11,192,340,6,27,21,-148,Low
Sri Lanka,2024-01-01,Tomato,68.03,329,366,11,23,12,-37,Low
India,2024-10-08,Brinjal,101.81,454,172,6,16,10,282,Low
Sri Lanka,2024-08-04,Tomato,88.03,73,288,10,28,18,-215,Low
India,2024-08-14,Cabbage,198.58,74,222,2,14,12,-148,Low
India,2024-12-03,Carrot,63.86,246,438,2,19,17,-192,Low
India,2024-01-05,Okra,115.92,458,461,2,23,21,-3,Low
Sri Lanka,2024-10-18,Cauliflower,199.96,343,164,7,8,1,179,High
India,2024-09-24,Onion,174.85,348,359,5,28,23,-11,Low
India,2024-11-19,Green Chilli,116.81,76,267,0,25,25,-191,Low
Sri Lanka,2024-03-30,Beans,136.71,273,389,3,23,20,-116,Low
Sri Lanka,2024-02-22,Okra,98.16,476,483,3,9,6,-7,Low
Sri Lanka,2024-03-25,Cabbage,189.07,65,318,3,17,14,-253,Low
Sri Lanka,2024-04-03,Cauliflower,193.81,236,481,1,21,20,-245,Low
Sri Lanka,2024-05-12,Potato,146.72,161,37,2,8,6,124,Low
India,2024-11-19,Potato,194.76,231,214,4,22,18,17,Low
Sri Lanka,2024-03-05,Green Chilli,174.8,140,495,3,25,22,-355,Low
Sri Lanka,2024-02-22,Okra,55.64,312,224,7,8,1,88,High
India,2024-08-19,Beans,53.42,84,144,2,26,24,-60,Low
Sri Lanka,2024-01-14,Cauliflower,91.18,589,121,5,17,12,468,Low
India,2024-11-16,Cauliflower,47.65,582,370,8,13,5,212,Medium
India,2024-05-16,Potato,153.23,513,210,16,19,3,303,Medium
Sri Lanka,2024-02-12,Onion,194.79,522,226,1,7,6,296,Low
Sri Lanka,2024-04-02,Cauliflower,146.11,132,152,12,15,3,-20,Medium
India,2024-11-25,Potato,30.81,520,341,8,13,5,179,Medium
Sri Lanka,2024-09-02,Cabbage,61.39,151,480,2,6,4,-329,Medium
Sri Lanka,2024-08-03,Okra,86.4,256,232,13,15,2,24,Medium
Sri Lanka,2024-11-24,Carrot,80.49,494,60,12,27,15,434,Low
India,2024-03-26,Onion,36.36,60,388,10,16,6,-328,Low
India,2024-12-03,Onion,100.4,167,157,1,8,7,10,Low
Sri Lanka,2024-03-14,Cabbage,180.08,539,464,17,27,10,75,Low
Sri Lanka,2024-05-20,Green Chilli,139.53,241,300,1,17,16,-59,Low
Sri Lanka,2024-12-08,Beans,142.2,159,218,8,16,8,-59,Low
Sri Lanka,2024-06-19,Green Chilli,165.7,80,287,2,19,17,-207,Low
India,2024-12-01,Tomato,105.74,565,344,12,17,5,221,Medium
Sri Lanka,2024-08-04,Onion,116.42,570,286,8,11,3,284,Medium
Sri Lanka,2024-02-03,Brinjal,118.7,488,187,8,9,1,301,High
Sri Lanka,2024-07-16,Potato,80.72,434,362,14,18,4,72,Medium
Sri Lanka,2024-11-10,Carrot,73.53,431,120,15,29,14,311,Low
Sri Lanka,2024-03-02,Brinjal,147.57,557,105,0,22,22,452,Low
Sri Lanka,2024-03-25,Cabbage,135.35,562,94,4,6,2,468,High
Sri Lanka,2024-08-12,Beans,86.32,356,85,5,7,2,271,High
India,2024-11-04,Onion,126.4,309,127,0,6,6,182,Low
Sri Lanka,2024-12-08,Carrot,126.26,363,93,25,26,1,270,High
India,2024-01-12,Cauliflower,126.55,358,98,3,8,5,260,Medium
Sri Lanka,2024-10-29,Potato,109.73,240,58,2,9,7,182,Low
India,2024-05-24,Carrot,188.14,479,176,14,17,3,303,Medium
India,2024-03-18,Onion,165.41,86,233,12,24,12,-147,Low
Sri Lanka,2024-11-07,Cabbage,146.63,407,443,5,8,3,-36,Medium
India,2024-03-15,Cabbage,90.81,584,102,6,8,2,482,High
Sri Lanka,2024-12-24,Brinjal,37.35,134,285,6,12,6,-151,Low
Sri Lanka,2024-10-06,Carrot,118.0,233,195,9,10,1,38,Medium
Sri Lanka,2024-03-31,Cauliflower,112.19,50,117,14,16,2,-67,Medium
India,2024-01-05,Okra,86.95,535,147,8,11,3,388,Medium
Sri Lanka,2024-08-14,Brinjal,20.27,66,163,13,22,9,-97,Low
Sri Lanka,2024-10-07,Carrot,175.83,267,249,7,26,19,18,Low
India,2024-11-13,Tomato,24.88,208,350,0,6,6,-142,Low
India,2024-11-04,Green Chilli,46.33,448,120,4,12,8,328,Low
Sri Lanka,2024-09-06,Tomato,20.42,255,111,15,21,6,144,Low
India,2024-08-10,Okra,71.96,250,404,18,28,10,-154,Low
Sri Lanka,2024-05-15,Cauliflower,38.45,262,146,11,12,1,116,High
Sri Lanka,2024-03-24,Beans,95.99,229,409,19,25,6,-180,Low
India,2024-12-02,Potato,44.53,466,202,13,18,5,264,Medium
Sri Lanka,2024-07-20,Tomato,109.92,424,491,14,23,9,-67,Low
India,2024-03-06,Potato,171.13,180,291,6,7,1,-111,Medium
India,2024-10-11,Potato,77.6,578,336,3,6,3,242,Medium
India,2024-12-09,Onion,187.08,342,228,2,14,12,114,Low
Sri Lanka,2024-03-15,Onion,175.02,547,54,2,6,4,493,Medium
Sri Lanka,2024-12-06,Onion,88.16,518,369,0,17,17,149,Low
Sri Lanka,2024-01-20,Cauliflower,118.12,390,85,14,18,4,305,Medium
Sri Lanka,2024-09-19,Okra,42.58,324,287,9,22,13,37,Low
India,2024-09-21,Cabbage,174.02,73,338,18,20,2,-265,Medium
India,2024-11-26,Green Chilli,134.28,408,308,15,19,4,100,Medium
Sri Lanka,2024-08-10,Potato,64.04,283,469,3,7,4,-186,Medium
Sri Lanka,2024-07-08,Okra,130.28,190,436,16,20,4,-246,Medium
Sri Lanka,2024-08-06,Carrot,143.89,536,485,16,23,7,51,Low
Sri Lanka,2024-10-19,Brinjal,83.18,389,100,8,11,3,289,Medium
Sri Lanka,2024-06-08,Onion,103.6,126,50,0,20,20,76,Low
Sri Lanka,2024-12-23,Okra,107.07,548,292,8,23,15,256,Low
Sri Lanka,2024-05-28,Beans,159.53,570,409,6,18,12,161,Low
Sri Lanka,2024-01-26,Carrot,102.27,395,314,20,25,5,81,Medium
Sri Lanka,2024-12-09,Cauliflower,40.91,198,488,5,15,10,-290,Low
Sri Lanka,2024-12-08,Carrot,183.24,504,391,1,9,8,113,Low
India,2024-01-10,Tomato,134.08,315,126,11,18,7,189,Low
Sri Lanka,2024-12-01,Carrot,103.22,78,271,14,22,8,-193,Low
Sri Lanka,2024-05-04,Cauliflower,94.91,74,180,10,22,12,-106,Low
Sri Lanka,2024-03-17,Onion,100.02,120,206,10,12,2,-86,Medium
India,2024-05-30,Beans,31.74,367,256,8,29,21,111,Low
India,2024-03-28,Carrot,162.59,545,444,2,10,8,101,Low
Sri Lanka,2024-11-16,Onion,36.09,148,462,14,29,15,-314,Low
India,2024-02-26,Green Chilli,77.04,591,482,5,6,1,109,High
Sri Lanka,2024-05-09,Beans,76.51,343,361,7,10,3,-18,Medium
Sri Lanka,2024-05-21,Okra,103.84,470,353,4,10,6,117,Low
Sri Lanka,2024-11-16,Tomato,47.94,555,384,9,13,4,171,Medium
Sri Lanka,2024-09-01,Beans,95.82,429,106,4,17,13,323,Low
India,2024-12-01,Brinjal,27.69,584,455,6,13,7,129,Low
Sri Lanka,2024-10-25,Carrot,114.4,212,350,6,18,12,-138,Low
India,2024-08-21,Carrot,60.65,293,485,0,20,20,-192,Low
Sri Lanka,2024-12-09,Cabbage,182.56,497,499,3,13,10,-2,Low
Sri Lanka,2024-03-16,Tomato,83.51,396,433,14,25,11,-37,Low
India,2024-12-06,Green Chilli,57.51,264,488,7,16,9,-224,Low
India,2024-01-22,Green Chilli,64.99,118,302,1,16,15,-184,Low
India,2024-02-07,Cauliflower,122.0,429,186,1,17,16,243,Low
India,2024-11-28,Tomato,186.61,301,488,4,21,17,-187,Low
Sri Lanka,2024-08-04,Tomato,93.97,464,169,5,6,1,295,High
Sri Lanka,2024-07-28,Brinjal,31.56,178,165,12,20,8,13,Low
Sri Lanka,2024-02-18,Tomato,42.52,511,91,19,20,1,420,High
India,2024-03-13,Beans,44.75,410,418,5,18,13,-8,Low
Sri Lanka,2024-04-26,Tomato,183.04,519,469,2,25,23,50,Low
Sri Lanka,2024-11-22,Okra,155.75,289,398,6,15,9,-109,Low
India,2024-11-27,Green Chilli,94.75,596,256,6,21,15,340,Low
Sri Lanka,2024-07-19,Cabbage,119.1,72,262,23,28,5,-190,Medium
India,2024-03-03,Green Chilli,104.76,86,452,5,27,22,-366,Low
Sri Lanka,2024-08-19,Onion,121.47,446,59,25,27,2,387,High
Sri Lanka,2024-06-27,Onion,164.24,484,290,19,24,5,194,Medium
India,2024-06-11,Brinjal,197.27,258,247,2,12,10,11,Low
India,2024-12-25,Potato,124.37,96,81,2,5,3,15,Medium
Sri Lanka,2024-10-29,Okra,153.39,399,135,16,23,7,264,Low
Sri Lanka,2024-05-29,Carrot,82.9,578,89,6,10,4,489,Medium
India,2024-11-17,Carrot,137.51,163,36,5,16,11,127,Low
India,2024-03-26,Green Chilli,126.24,398,267,4,13,9,131,Low
Sri Lanka,2024-09-20,Okra,118.66,552,371,2,5,3,181,Medium
India,2024-05-01,Onion,33.78,415,187,6,24,18,228,Low
India,2024-04-15,Cabbage,140.59,443,87,8,10,2,356,High
Sri Lanka,2024-01-11,Tomato,110.58,77,377,9,18,9,-300,Low
India,2024-01-11,Cauliflower,63.57,315,405,17,27,10,-90,Low
Sri Lanka,2024-05-15,Cauliflower,117.54,95,226,9,10,1,-131,Medium
India,2024-04-15,Onion,180.29,532,202,3,15,12,330,Low
India,2024-10-26,Carrot,54.28,304,456,13,16,3,-152,Medium
Sri Lanka,2024-05-01,Okra,112.77,113,112,7,18,11,1,Low
India,2024-09-24,Okra,139.37,495,125,8,12,4,370,Medium
Sri Lanka,2024-06-25,Green Chilli,161.55,596,402,5,26,21,194,Low
Sri Lanka,2024-10-07,Carrot,176.25,465,359,15,24,9,106,Low
Sri Lanka,2024-10-19,Okra,109.25,423,472,16,23,7,-49,Low
Sri Lanka,2024-06-22,Brinjal,179.53,476,146,2,18,16,330,Low
India,2024-09-08,Tomato,27.5,131,293,6,22,16,-162,Low
India,2024-09-21,Beans,64.08,317,401,3,28,25,-84,Low
Sri Lanka,2024-04-27,Onion,23.22,268,433,0,8,8,-165,Low
India,2024-02-12,Potato,173.46,404,236,5,6,1,168,High
India,2024-02-27,Beans,147.31,353,189,15,28,13,164,Low
India,2024-01-29,Beans,52.99,413,268,20,29,9,145,Low
India,2024-09-20,Cauliflower,114.84,155,499,4,13,9,-344,Low
Sri Lanka,2024-10-14,Green Chilli,66.34,72,477,10,12,2,-405,Medium
Sri Lanka,2024-02-14,Carrot,179.58,442,36,10,14,4,406,Medium
Sri Lanka,2024-08-23,Cabbage,27.77,542,112,0,23,23,430,Low
India,2024-07-24,Cauliflower,163.82,374,390,18,25,7,-16,Low
Sri Lanka,2024-08-17,Brinjal,54.19,382,284,5,22,17,98,Low
India,2024-02-10,Tomato,39.59,370,451,2,6,4,-81,Medium
India,2024-09-09,Okra,64.04,120,333,1,10,9,-213,Low
Sri Lanka,2024-04-27,Green Chilli,41.97,100,445,12,24,12,-345,Low
Sri Lanka,2024-11-23,Carrot,51.57,394,52,5,9,4,342,Medium
Sri Lanka,2024-12-18,Okra,90.95,432,251,23,24,1,181,High
India,2024-11-09,Carrot,166.38,424,44,0,5,5,380,Medium
India,2024-08-25,Carrot,196.74,334,66,2,10,8,268,Low
India,2024-05-14,Tomato,45.79,342,399,15,21,6,-57,Low
Sri Lanka,2024-02-13,Beans,166.65,490,390,3,9,6,100,Low
Sri Lanka,2024-07-29,Potato,92.31,378,78,2,15,13,300,Low
Sri Lanka,2024-11-03,Okra,34.04,505,353,2,8,6,152,Low
India,2024-02-25,Onion,37.62,560,70,3,8,5,490,Medium
India,2024-09-28,Onion,113.39,526,176,1,17,16,350,Low
India,2024-09-18,Beans,105.94,224,146,16,23,7,78,Low
India,2024-04-09,Onion,125.05,426,196,6,7,1,230,High
Sri Lanka,2024-06-07,Carrot,58.98,401,296,12,15,3,105,Medium
India,2024-01-26,Beans,111.72,419,102,21,23,2,317,High
Sri Lanka,2024-10-05,Tomato,46.67,328,479,18,27,9,-151,Low
India,2024-01-27,Potato,169.95,148,237,1,6,5,-89,Medium
India,2024-02-10,Green Chilli,169.52,242,57,1,16,15,185,Low
India,2024-05-04,Okra,78.76,323,129,2,11,9,194,Low
Sri Lanka,2024-09-09,Carrot,137.79,336,170,3,8,5,166,Medium
India,2024-03-21,Okra,37.21,578,72,8,9,1,506,High
Sri Lanka,2024-06-17,Green Chilli,28.19,577,426,7,17,10,151,Low
Sri Lanka,2024-05-04,Potato,119.13,522,161,6,7,1,361,High
India,2024-09-15,Beans,52.34,224,338,0,5,5,-114,Medium
Sri Lanka,2024-12-15,Potato,156.45,254,209,15,20,5,45,Medium
Sri Lanka,2024-10-19,Cabbage,186.22,530,30,10,11,1,500,High
Sri Lanka,2024-09-20,Cabbage,46.82,591,367,11,22,11,224,Low
Sri Lanka,2024-07-21,Brinjal,33.51,172,91,1,28,27,81,Low
Sri Lanka,2024-08-31,Okra,39.51,231,192,5,11,6,39,Low
Sri Lanka,2024-12-05,Cabbage,21.57,416,182,1,6,5,234,Medium
Sri Lanka,2024-04-20,Potato,180.81,387,240,5,16,11,147,Low
Sri Lanka,2024-08-04,Okra,88.9,111,341,3,28,25,-230,Low
Sri Lanka,2024-11-10,Brinjal,46.72,248,467,4,11,7,-219,Low
Sri Lanka,2024-04-13,Okra,131.47,391,123,3,9,6,268,Low
Sri Lanka,2024-06-03,Potato,139.51,174,98,19,26,7,76,Low
India,2024-10-14,Cabbage,179.47,556,148,12,15,3,408,Medium
Sri Lanka,2024-09-30,Onion,74.69,292,113,4,5,1,179,High
India,2024-10-26,Green Chilli,181.7,477,318,15,21,6,159,Low
India,2024-09-29,Brinjal,179.13,290,499,6,9,3,-209,Medium
Sri Lanka,2024-06-05,Cabbage,170.42,223,448,0,20,20,-225,Low
India,2024-11-08,Carrot,51.02,176,290,2,16,14,-114,Low
India,2024-02-20,Tomato,174.96,491,496,0,8,8,-5,Low
Sri Lanka,2024-01-07,Green Chilli,44.33,429,272,0,12,12,157,Low
India,2024-04-06,Brinjal,35.15,131,246,16,18,2,-115,Medium
Sri Lanka,2024-10-17,Carrot,182.66,422,282,7,14,7,140,Low
Sri Lanka,2024-09-30,Onion,33.16,243,123,6,10,4,120,Medium
Sri Lanka,2024-07-30,Carrot,89.17,321,154,16,19,3,167,Medium
India,2024-09-29,Brinjal,183.54,112,250,21,26,5,-138,Medium
India,2024-12-25,Green Chilli,71.0,161,301,6,12,6,-140,Low
India,2024-05-08,Brinjal,67.62,437,150,0,7,7,287,Low
India,2024-04-25,Beans,158.98,263,456,1,14,13,-193,Low
India,2024-09-27,Okra,113.97,107,377,10,18,8,-270,Low
Sri Lanka,2024-10-06,Onion,38.0,158,366,1,28,27,-208,Low
Sri Lanka,2024-09-13,Tomato,76.29,393,351,11,15,4,42,Medium
Sri Lanka,2024-04-23,Cauliflower,198.69,207,63,5,27,22,144,Low
India,2024-12-15,Okra,87.24,233,31,1,9,8,202,Low
India,2024-02-16,Cauliflower,157.12,234,135,14,16,2,99,High
Sri Lanka,2024-10-26,Tomato,166.4,276,207,2,8,6,69,Low
India,2024-02-14,Cabbage,91.32,157,211,7,14,7,-54,Low
Sri Lanka,2024-05-20,Carrot,183.14,365,293,7,25,18,72,Low
Sri Lanka,2024-06-09,Tomato,194.76,293,105,8,23,15,188,Low
India,2024-05-22,Beans,47.39,352,331,1,11,10,21,Low
Sri Lanka,2024-06-11,Carrot,25.67,479,415,5,7,2,64,Medium
Sri Lanka,2024-01-15,Onion,152.49,194,61,8,20,12,133,Low
Sri Lanka,2024-06-12,Tomato,122.5,69,93,11,12,1,-24,Medium
India,2024-01-01,Brinjal,48.69,131,407,9,10,1,-276,Medium
Sri Lanka,2024-07-22,Green Chilli,141.86,288,290,14,26,12,-2,Low
India,2024-12-07,Tomato,37.41,328,123,14,20,6,205,Low
India,2024-12-03,Onion,69.49,493,231,1,8,7,262,Low
India,2024-06-24,Okra,170.66,60,338,14,21,7,-278,Low
Sri Lanka,2024-05-03,Potato,37.45,100,289,27,29,2,-189,Medium
India,2024-04-22,Beans,139.57,67,247,2,11,9,-180,Low
Sri Lanka,2024-08-18,Okra,161.11,394,258,10,12,2,136,High
Sri Lanka,2024-01-21,Beans,125.74,428,496,7,29,22,-68,Low
India,2024-01-16,Okra,155.42,129,320,5,16,11,-191,Low
Sri Lanka,2024-02-18,Cauliflower,180.39,581,382,14,18,4,199,Medium
India,2024-12-10,Onion,186.27,322,235,10,12,2,87,High
India,2024-07-07,Brinjal,83.15,97,497,2,12,10,-400,Low
Sri Lanka,2024-07-17,Okra,152.77,156,402,2,18,16,-246,Low
India,2024-07-30,Brinjal,74.76,117,267,15,16,1,-150,Medium
Sri Lanka,2024-03-15,Onion,68.5,478,130,8,9,1,348,High
Sri Lanka,2024-12-09,Potato,78.42,405,469,3,5,2,-64,Medium
Sri Lanka,2024-07-06,Brinjal,64.06,475,167,10,28,18,308,Low
India,2024-10-31,Cauliflower,160.28,103,242,16,27,11,-139,Low
India,2024-06-02,Brinjal,63.75,348,169,3,5,2,179,High
India,2024-09-24,Carrot,96.16,215,127,9,22,13,88,Low
Sri Lanka,2024-02-12,Brinjal,94.4,299,134,6,17,11,165,Low
Sri Lanka,2024-12-30,Beans,95.11,430,393,9,12,3,37,Medium
Sri Lanka,2024-01-05,Okra,35.07,164,202,16,27,11,-38,Low
Sri Lanka,2024-03-01,Tomato,131.33,79,336,9,19,10,-257,Low
Sri Lanka,2024-09-21,Potato,122.72,75,297,3,9,6,-222,Low
Sri Lanka,2024-12-29,Okra,173.89,388,94,23,26,3,294,Medium
India,2024-10-27,Beans,24.03,151,164,11,24,13,-13,Low
Sri Lanka,2024-02-11,Cabbage,143.62,548,484,9,18,9,64,Low
Sri Lanka,2024-02-08,Onion,70.16,375,127,10,23,13,248,Low
Sri Lanka,2024-02-16,Potato,49.21,318,247,3,5,2,71,Medium
India,2024-08-13,Okra,135.95,53,97,22,25,3,-44,Medium
Sri Lanka,2024-01-01,Onion,166.37,100,450,9,12,3,-350,Medium
Sri Lanka,2024-04-21,Cabbage,94.2,192,410,13,28,15,-218,Low
India,2024-02-19,Cabbage,40.26,442,350,7,13,6,92,Low
India,2024-03-21,Onion,178.97,349,421,1,8,7,-72,Low
India,2024-05-17,Cauliflower,55.27,586,216,16,22,6,370,Low
India,2024-12-07,Onion,40.05,565,193,10,17,7,372,Low
Sri Lanka,2024-04-26,Okra,139.61,426,39,4,5,1,387,High
India,2024-08-18,Beans,164.25,549,443,26,27,1,106,High
India,2024-05-29,Cauliflower,99.75,210,291,6,10,4,-81,Medium
Sri Lanka,2024-11-19,Green Chilli,179.09,207,386,8,21,13,-179,Low
Sri Lanka,2024-09-17,Cauliflower,68.36,442,286,5,25,20,156,Low
Sri Lanka,2024-05-17,Onion,112.83,547,316,4,6,2,231,High
Sri Lanka,2024-06-16,Potato,49.74,441,56,0,5,5,385,Medium
Sri Lanka,2024-08-13,Cauliflower,160.1,416,331,2,21,19,85,Low
India,2024-01-02,Cauliflower,57.06,196,209,11,13,2,-13,Medium
India,2024-12-22,Onion,77.56,398,46,14,18,4,352,Medium
India,2024-11-12,Potato,68.44,127,364,11,17,6,-237,Low
India,2024-12-16,Green Chilli,180.84,248,116,2,11,9,132,Low
India,2024-08-22,Brinjal,109.97,146,384,0,10,10,-238,Low
Sri Lanka,2024-11-24,Green Chilli,25.09,320,85,11,29,18,235,Low
Sri Lanka,2024-02-25,Cabbage,101.52,125,82,6,21,15,43,Low
Sri Lanka,2024-03-06,Okra,49.78,195,299,9,13,4,-104,Medium
Sri Lanka,2024-01-02,Potato,54.15,507,34,5,13,8,473,Low
India,2024-10-31,Onion,155.92,389,194,14,15,1,195,High
Sri Lanka,2024-08-20,Carrot,37.67,411,193,3,10,7,218,Low
Sri Lanka,2024-08-21,Brinjal,123.02,123,261,3,10,7,-138,Low
India,2024-05-18,Green Chilli,73.46,386,301,8,11,3,85,Medium
Sri Lanka,2024-10-04,Potato,68.34,540,171,4,17,13,369,Low
India,2024-11-24,Cauliflower,148.41,421,162,1,7,6,259,Low
India,2024-03-16,Carrot,20.1,259,422,23,25,2,-163,Medium
Sri Lanka,2024-12-13,Potato,150.81,506,479,5,26,21,27,Low
Sri Lanka,2024-07-01,Cabbage,187.75,188,407,8,26,18,-219,Low
India,2024-01-15,Potato,61.71,479,127,6,13,7,352,Low
India,2024-07-10,Okra,152.11,455,253,10,27,17,202,Low
India,2024-03-28,Beans,66.66,195,487,11,24,13,-292,Low
India,2024-02-06,Beans,54.77,395,77,1,10,9,318,Low
India,2024-01-07,Green Chilli,158.65,599,373,1,10,9,226,Low
India,2024-07-10,Carrot,184.14,584,322,3,21,18,262,Low
Sri Lanka,2024-09-06,Tomato,154.7,412,317,10,18,8,95,Low
India,2024-07-05,Beans,102.83,68,422,4,12,8,-354,Low
Sri Lanka,2024-11-03,Potato,151.97,329,384,2,12,10,-55,Low
Sri Lanka,2024-02-14,Brinjal,176.0,246,191,9,14,5,55,Medium
India,2024-03-17,Tomato,80.94,419,461,2,27,25,-42,Low
Sri Lanka,2024-12-29,Tomato,40.86,154,71,28,29,1,83,High
Sri Lanka,2024-06-26,Onion,109.37,354,184,0,12,12,170,Low
India,2024-01-03,Beans,119.74,276,425,4,5,1,-149,Medium
India,2024-06-17,Potato,77.66,340,465,17,19,2,-125,Medium
India,2024-02-09,Potato,65.1,126,41,21,29,8,85,Low
India,2024-01-17,Okra,191.99,270,478,2,10,8,-208,Low
Sri Lanka,2024-12-26,Cabbage,132.06,573,254,8,13,5,319,Medium
India,2024-08-15,Brinjal,29.64,253,426,15,22,7,-173,Low
India,2024-02-18,Beans,85.94,498,187,10,19,9,311,Low
Sri Lanka,2024-12-26,Brinjal,146.08,486,92,4,6,2,394,High
Sri Lanka,2024-11-06,Okra,193.11,56,44,11,27,16,12,Low
Sri Lanka,2024-11-22,Potato,23.69,576,373,12,28,16,203,Low
India,2024-09-29,Carrot,198.68,389,65,19,22,3,324,Medium
Sri Lanka,2024-11-17,Carrot,44.42,335,445,10,12,2,-110,Medium
India,2024-04-27,Tomato,56.39,77,495,8,19,11,-418,Low
India,2024-05-21,Green Chilli,120.4,253,407,4,8,4,-154,Medium
India,2024-05-20,Beans,152.64,274,176,9,10,1,98,High
Sri Lanka,2024-05-03,Potato,93.96,504,463,11,19,8,41,Low
Sri Lanka,2024-04-25,Potato,31.83,243,103,4,18,14,140,Low
India,2024-01-21,Brinjal,186.59,443,492,4,25,21,-49,Low
Sri Lanka,2024-11-25,Cabbage,86.52,148,141,8,28,20,7,Low
Sri Lanka,2024-12-20,Carrot,143.86,338,293,25,28,3,45,Medium
Sri Lanka,2024-04-29,Carrot,193.38,336,149,18,23,5,187,Medium
Sri Lanka,2024-02-25,Beans,187.84,84,382,8,14,6,-298,Low
Sri Lanka,2024-11-24,Beans,140.31,581,288,4,21,17,293,Low
Sri Lanka,2024-01-13,Beans,39.86,438,342,9,12,3,96,Medium
Sri Lanka,2024-03-27,Okra,193.77,569,68,12,21,9,501,Low
Sri Lanka,2024-02-07,Cauliflower,118.81,411,216,8,24,16,195,Low
Sri Lanka,2024-06-17,Brinjal,164.43,296,129,4,24,20,167,Low
